Name;Part;Value;Device;Package;DigiKey Part;Herrsteller Part;Herrsteller;Delivery;Quantity pB;Quantity;Unit Price;Board Price $
Capacitor;C1, C2;22p;CAP;1206;1276-1203-1-ND;CL31C220JBCNNNC;Samsung Electro-Mechanics America, Inc;Cut Tape;2;;0,13000;0,26
Capacitor;C3;100µ;CAP;CAPAE660X800N;PCE3750CT-ND;EEE-HC1C101XP;Panasonic Electronic Components;Cut Tape;1;;0,57000;0,57
Capacitor;C4;10µ;CAP;1206;399-1299-1-ND;C1206C106Z8VACTU;Kemet;Cut Tape;1;;0,16000;0,16
Capacitor;C5;100n;CAP;1206;399-1249-1-ND;C1206C104K5RACTU;Kemet;Cut Tape;1;;0,08000;0,08
Resistor-Array;CTS742C083_1 CTS742C083_2;1k;RESISTOR;0603;742C083102JPCT-ND;742C083102JP;CTS Resistor Products;Cut Tape;2;;0,08000;0,16
Resistor-Array;CTS742C083_3 CTS742C083_4;10;RESISTOR;0603;742C083100JPCT-ND;742C083100JP;CTS Resistor Products;Cut Tape;2;;0,08000;0,16
DIFFERENTIAL BUS TRANSCEIVER;IC1;;TRANSRECIVER;D R-PDSO-G8 (8-SOIC);"296-14955-1-ND
";SN75176ADR;Texas Instruments;Cut Tape;1;;0,67000;0,67
Johnson Decade Counter;IC2;74HC(T)4017;COUNTER;16-SOIC;568-8146-1-ND;74HC4017D,653;NXP Semiconductors;Cut Tape;1;;0,57000;0,57
NPN Darlington Array;IC3;ULN2803A;BJT TRANSISTOR;18-SOL;ULN2803AFWGCELCT-ND;ULN2803AFWG,C,EL;Toshiba Semiconductor and Storage;Cut Tape;1;;0,51000;0,51
Regulator;IC4;7805;REGULATOR;TO-252-3;MC7805CDTRKGOSCT-ND;MC7805CDTRKG;ON Semiconductor;Cut Tape;1;;0,53000;0,53
Power;J1;102A;CONNECTOR;2.1mm ID, 5.5mm OD;CP-102A-ND;PJ-102A;CUI Inc;Single;1;;1,00000;1,00
Lights;JP1;2x8;CONNECTOR;"0.100"" ";609-3337-ND;68021-116HLF;FCI;Bulk;1;;0,61000;0,61
In / Out;JP2;1x3;CONNECTOR;"0.100"" ";609-3461-ND;68000-103HLF;FCI;Bulk;2;;0,15000;0,30
P.Select;JP4;2x3;CONNECTOR;"0.100"" ";609-3210-ND;67996-206HLF;FCI;Bulk;1;;0,29000;0,29
Transistor;Q2 - Q9;MMBT4403;TRANSISTOR;SOT-32;MMBT4403LT3GOSCT-ND;MMBT4403LT3G;ON Semiconductor;Cut Tape;8;;0,12000;0,96
Quarz Crystal;Q1;20MHZ;CRYSTAL;20MHZ;300-6142-1-ND;HCM49-20.000MABJT;Citizen Finetech Miyota;Cut Tape;1;;0,63000;0,63
Resistor;R17;1k;RESISTOR;1206;311-1.00KFRCT-ND;RC1206FR-071KL;RC1206FR-071KL;Cut Tape;1;;0,10000;0,10
Microcontroller;U$1;ATTINY2313A-SU;µC;SO20L;ATTINY2313A-SU-ND;ATTINY2313A-SU;Atmel;Tube;1;;1,58000;1,58
DMX in;;female;PORT;XLR, female;SC1906-ND;PD3FRA2;Switchcraft Inc.;Bulk;1;;2,24000;2,24
DMX out;;male;PORT;XLR, male;SC1512-ND;PD3MSC1;Switchcraft Inc.;Bulk;1;;3,01000;3,01
;;;;;;;;;;;;
Total;;;;;;;;;;;;14,39
