"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"TP_SIGNAL_NAME";
"C1";"22p";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";
"C2";"22p";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";
"C3";"100µ";"CPOL-USUD-6,3X5,8";"UD-6,3X5,8_NICHICON";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";
"C4";"10µ";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";
"CTS742C083_1";"1k";"CTS742C083";"CTS742C083";"Chip Resistor Array 4 Single Resistor";"";"";"";"";"";
"CTS742C083_2";"1k";"CTS742C083";"CTS742C083";"Chip Resistor Array 4 Single Resistor";"";"";"";"";"";
"CTS742C083_3";"10";"CTS742C083";"CTS742C083";"Chip Resistor Array 4 Single Resistor";"";"";"";"";"";
"CTS742C083_4";"10";"CTS742C083";"CTS742C083";"Chip Resistor Array 4 Single Resistor";"";"";"";"";"";
"IC1";"75176AD";"75176AD";"D_R-PDSO-G8";"DIFFERENTIAL BUS TRANSCEIVER";"";"";"";"";"";
"IC2";"4017D";"4017D";"SO16";"COUNTER/DIVIDER";"";"";"";"";"";
"IC3";"ULN2803";"ULN2803ASMD";"SO18W";"DRIVER ARRAY";"";"";"";"";"";
"IC4";"7805DT";"7805DT";"TO252";"Positive VOLTAGE REGULATOR";"";"";"";"";"";
"J1";"DCJ0202";"DCJ0202";"DCJ0202";"DC POWER JACK";"";"";"unknown";"unknown";"";
"JP1";"LIGHTS";"PINHD-2X8_2.54";"2X08";"PIN HEADER";"";"";"";"";"";
"JP2";"IN";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"";
"JP3";"OUT";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"";
"JP4";"P.SELECT";"PINHD-2X3";"2X03";"PIN HEADER";"";"";"";"";"";
"Q2";"MMBT4403LT1SMD";"MMBT4403LT1SMD";"SOT23-BEC";"PNP Transistror";"";"";"";"";"";
"Q3";"MMBT4403LT1SMD";"MMBT4403LT1SMD";"SOT23-BEC";"PNP Transistror";"";"";"";"";"";
"Q4";"MMBT4403LT1SMD";"MMBT4403LT1SMD";"SOT23-BEC";"PNP Transistror";"";"";"";"";"";
"Q5";"MMBT4403LT1SMD";"MMBT4403LT1SMD";"SOT23-BEC";"PNP Transistror";"";"";"";"";"";
"Q6";"MMBT4403LT1SMD";"MMBT4403LT1SMD";"SOT23-BEC";"PNP Transistror";"";"";"";"";"";
"Q7";"MMBT4403LT1SMD";"MMBT4403LT1SMD";"SOT23-BEC";"PNP Transistror";"";"";"";"";"";
"Q8";"MMBT4403LT1SMD";"MMBT4403LT1SMD";"SOT23-BEC";"PNP Transistror";"";"";"";"";"";
"Q9";"MMBT4403LT1SMD";"MMBT4403LT1SMD";"SOT23-BEC";"PNP Transistror";"";"";"";"";"";
"Q10";"20MHZ";"CRYSTALHC49S";"HC49/S";"CRYSTAL";"";"";"1667008";"unknown";"";
"R17";"1k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";
"TP1";"TPSQTP20R";"TPSQTP20R";"TP20R";"Test pad";"";"";"";"";"";
"TP2";"TPSQTP19SQ";"TPSQTP19SQ";"TP19SQ";"Test pad";"";"";"";"";"";
"TP3";"TPSQTP20SQ";"TPSQTP20SQ";"TP20SQ";"Test pad";"";"";"";"";"";
"TP4";"TPSQTP20SQ";"TPSQTP20SQ";"TP20SQ";"Test pad";"";"";"";"";"";
"TP5";"TPSQTP20SQ";"TPSQTP20SQ";"TP20SQ";"Test pad";"";"";"";"";"";
"TP6";"TPSQTP20SQ";"TPSQTP20SQ";"TP20SQ";"Test pad";"";"";"";"";"";
"U$1";"TINY2313";"TINY2313-*S*";"SO20L$";"Atmel Tiny2313";"";"";"";"";"";
